ts_utc,flow_key_pid,flow_src_ip,flow_dst_ip,flow_proto,pid,proc_name,label,score,total_pkts,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51
2026-01-23T14:19:14.233091Z,24760,172.19.0.1,18.244.87.70,6,24760,AsusMyASUS,Normal Traffic,1.0,27,443,1099082.9467773438,13,9263,3860.0,5.0,712.5384615384615,1074.19090234211,2915.0,5.0,661.6428571428571,843.572979918738,16855.870664102902,24.565934790606622,42272.42102989784,124960.61557678365,606291.0556793213,0.95367431640625,1074190.8550262451,89515.90458552043,174815.39529117398,607511.9972229004,0.95367431640625,1097862.0052337646,84450.92347952035,169952.58709718895,607755.8994293213,0.95367431640625,520,560,11.828042676958749,12.73789211364788,5.0,3860.0,686.1481481481482,961.876934597865,925207.2373113856,0,0,0,686.1481481481482,9263,0,0,19,2,1099082.9467773438,1099082.9467773438,1099082.9467773438,0.0,0.0,0.0
2026-01-23T14:19:12.210498Z,24760,172.19.0.1,18.165.72.79,6,24760,AsusMyASUS,Normal Traffic,0.999998,9,443,1488835.096359253,9,6034,2851.0,5.0,670.4444444444445,894.8993874063425,0.0,0.0,0.0,0.0,4052.832993227618,6.044994520889719,186104.38704490665,291781.3984667396,700620.8896636963,1.1920928955078125,1488835.096359253,186104.38704490665,291781.3984667396,700620.8896636963,1.1920928955078125,0.0,0.0,0.0,0.0,0.0,360,0,6.044994520889719,0.0,5.0,2851.0,670.4444444444445,894.8993874063425,800844.9135802471,0,0,0,670.4444444444445,6034,0,0,6,134,1488835.096359253,1488835.096359253,1488835.096359253,0.0,0.0,0.0
2026-01-23T14:19:14.224092Z,24760,172.19.0.1,18.165.72.60,6,24760,AsusMyASUS,Normal Traffic,0.999997,18,443,2998800.039291382,18,25338,8691.0,5.0,1407.6666666666667,2094.273514982118,0.0,0.0,0.0,0.0,8449.379641193877,6.002400881738487,176400.00231125776,399232.5964953604,1552315.9503936768,0.95367431640625,2998800.039291382,176400.00231125776,399232.5964953604,1552315.9503936768,0.95367431640625,0.0,0.0,0.0,0.0,0.0,720,0,6.002400881738487,0.0,5.0,8691.0,1407.6666666666667,2094.273514982118,4385981.555555555,0,0,0,1407.6666666666667,25338,0,0,13,134,723242.0444488525,1433062.0765686035,13422.012329101562,1552315.9503936768,1552315.9503936768,1552315.9503936768
2026-01-23T14:19:11.203761Z,24760,172.19.0.1,18.165.72.94,6,24760,AsusMyASUS,Normal Traffic,0.999997,11,443,856852.0545959473,11,8233,1792.0,5.0,748.4545454545455,703.2425371916167,0.0,0.0,0.0,0.0,9608.42651405243,12.837688771356335,85685.20545959473,177807.37920988988,612074.1367340088,1.9073486328125,856852.0545959473,85685.20545959473,177807.37920988988,612074.1367340088,1.9073486328125,0.0,0.0,0.0,0.0,0.0,440,0,12.837688771356335,0.0,5.0,1792.0,748.4545454545455,703.2425371916167,494550.0661157024,0,0,0,748.4545454545455,8233,0,0,8,85,856852.0545959473,856852.0545959473,856852.0545959473,0.0,0.0,0.0
2026-01-23T14:19:17.283438Z,24760,172.19.0.1,103.10.5.73,6,24760,AsusMyASUS,Normal Traffic,0.999999,14,443,2196928.9779663086,14,9026,3530.0,5.0,644.7142857142857,998.436164965094,0.0,0.0,0.0,0.0,4108.462353824175,6.372531902674325,168994.53676663912,301875.7244557602,1120349.8840332031,0.95367431640625,2196928.9779663086,168994.53676663912,301875.7244557602,1120349.8840332031,0.95367431640625,0.0,0.0,0.0,0.0,0.0,560,0,6.372531902674325,0.0,5.0,3530.0,644.7142857142857,998.436164965094,996874.775510204,0,0,0,644.7142857142857,9026,0,0,10,6,1076579.0939331057,1076579.0939331057,1076579.0939331057,1120349.8840332031,1120349.8840332031,1120349.8840332031
2026-01-23T14:19:12.213152Z,24760,172.19.0.1,18.244.87.12,6,24760,AsusMyASUS,Normal Traffic,0.999998,21,443,1669065.9523010254,21,9671,2372.0,5.0,460.5238095238095,694.3194419921889,0.0,0.0,0.0,0.0,5794.258750930281,12.581887474877046,83453.29761505127,159251.00242707608,594341.0396575928,0.95367431640625,1669065.9523010254,83453.29761505127,159251.00242707608,594341.0396575928,0.95367431640625,0.0,0.0,0.0,0.0,0.0,840,0,12.581887474877046,0.0,5.0,2372.0,460.5238095238095,694.3194419921889,482079.48752834456,0,0,0,460.5238095238095,9671,0,0,13,2,1669065.9523010254,1669065.9523010254,1669065.9523010254,0.0,0.0,0.0
2026-01-23T14:19:12.218199Z,24760,172.19.0.1,103.10.5.131,6,24760,AsusMyASUS,Normal Traffic,0.999999,8,8020,1462686.0618591309,8,5515,2372.0,5.0,689.375,728.345202754161,0.0,0.0,0.0,0.0,3770.460486230532,5.46938964457738,208955.1516941616,382331.6327431447,1113476.9916534424,0.95367431640625,1462686.0618591309,208955.1516941616,382331.6327431447,1113476.9916534424,0.95367431640625,0.0,0.0,0.0,0.0,0.0,320,0,5.46938964457738,0.0,5.0,2372.0,689.375,728.345202754161,530486.734375,0,0,0,689.375,5515,0,0,6,249,349209.0702056885,349209.0702056885,349209.0702056885,1113476.9916534424,1113476.9916534424,1113476.9916534424
2026-01-23T14:19:12.215197Z,24760,172.19.0.1,18.244.87.54,6,24760,AsusMyASUS,Normal Traffic,0.999995,18,443,717657.0892333984,18,28426,2920.0,5.0,1579.2222222222222,1252.731573427336,0.0,0.0,0.0,0.0,39609.4463866645,25.081616652359145,42215.12289608226,134403.86657608274,576127.0523071289,0.95367431640625,717657.0892333984,42215.12289608226,134403.86657608274,576127.0523071289,0.95367431640625,0.0,0.0,0.0,0.0,0.0,720,0,25.081616652359145,0.0,5.0,2920.0,1579.2222222222222,1252.731573427336,1569336.3950617283,0,0,0,1579.2222222222222,28426,0,0,15,134,717657.0892333984,717657.0892333984,717657.0892333984,0.0,0.0,0.0
2026-01-23T14:19:14.231092Z,24760,172.19.0.1,18.244.87.72,6,24760,AsusMyASUS,Normal Traffic,0.999998,13,443,1394397.0203399658,13,7246,1693.0,5.0,557.3846153846154,611.9561998481137,0.0,0.0,0.0,0.0,5196.511391162729,9.323026233110058,116199.75169499716,222253.60879744744,678907.8712463379,0.95367431640625,1394397.0203399658,116199.75169499716,222253.60879744744,678907.8712463379,0.95367431640625,0.0,0.0,0.0,0.0,0.0,520,0,9.323026233110058,0.0,5.0,1693.0,557.3846153846154,611.9561998481137,374490.39053254446,0,0,0,557.3846153846154,7246,0,0,9,2,1394397.0203399658,1394397.0203399658,1394397.0203399658,0.0,0.0,0.0
2026-01-23T14:19:14.228093Z,664,172.19.0.1,103.10.5.131,6,664,AsusSoftwareManagerAgent,Normal Traffic,0.999999,8,8020,1466598.0339050293,8,5515,1685.0,5.0,689.375,571.0553689223138,0.0,0.0,0.0,0.0,3760.403241040434,5.454800712298,209514.0048435756,381441.5108946263,1108636.1408233645,9.059906005859377,1466598.0339050293,209514.0048435756,381441.5108946263,1108636.1408233645,9.059906005859377,0.0,0.0,0.0,0.0,0.0,320,0,5.454800712298,0.0,5.0,1685.0,689.375,571.0553689223138,326104.23437499994,0,0,0,689.375,5515,0,0,6,249,357961.89308166504,357961.89308166504,357961.89308166504,1108636.1408233645,1108636.1408233645,1108636.1408233645
