timestamp,pid,proc_name,score,label,pkts
2026-01-23 14:07:21,10484,svchost,0.999993,Normal Traffic,2
2026-01-23 14:07:26,22292,brave,0.999997,Normal Traffic,6
2026-01-23 14:07:34,22292,brave,0.999999,Normal Traffic,9
2026-01-23 14:07:35,22292,brave,0.999996,Normal Traffic,22
2026-01-23 14:07:39,22292,brave,0.999969,Normal Traffic,3000
2026-01-23 14:07:39,16272,Hiddify,0.999994,Normal Traffic,3000
2026-01-23 14:07:39,25188,Telegram,0.999998,Normal Traffic,7
2026-01-23 14:07:40,25188,Telegram,0.999999,Normal Traffic,18
2026-01-23 14:07:43,12672,Code,0.999998,Normal Traffic,1
2026-01-23 14:07:56,22292,brave,0.999997,Normal Traffic,6
2026-01-23 14:08:12,22292,brave,0.999986,Normal Traffic,2779
2026-01-23 14:08:13,2400,svchost,1.000000,Normal Traffic,4
2026-01-23 14:08:13,10832,warp-svc,0.999999,Normal Traffic,2
2026-01-23 14:08:14,25188,Telegram,0.999987,Normal Traffic,3
2026-01-23 14:08:16,22292,brave,0.999997,Normal Traffic,21
2026-01-23 14:08:19,2400,svchost,0.999219,Normal Traffic,4
2026-01-23 14:08:19,16272,Hiddify,0.999908,Normal Traffic,8
2026-01-23 14:08:20,22292,brave,0.999948,Normal Traffic,3000
2026-01-23 14:08:21,10484,svchost,0.999993,Normal Traffic,2
2026-01-23 14:08:26,22292,brave,0.999997,Normal Traffic,6
2026-01-23 14:08:28,22292,brave,1.000000,Normal Traffic,43
2026-01-23 14:08:33,16272,Hiddify,0.999986,Normal Traffic,3000
2026-01-23 14:08:35,22292,brave,0.999987,Normal Traffic,3000
2026-01-23 14:08:37,22292,brave,0.999950,Normal Traffic,3000
2026-01-23 14:08:37,16272,Hiddify,0.999978,Normal Traffic,3000
2026-01-23 14:08:44,2400,svchost,0.999998,Normal Traffic,4
2026-01-23 14:08:46,5016,taskhostw,0.999997,Normal Traffic,20
2026-01-23 14:08:56,22292,brave,0.999997,Normal Traffic,17
2026-01-23 14:08:58,22292,brave,0.999988,Normal Traffic,1050
2026-01-23 14:08:58,22292,brave,0.999997,Normal Traffic,48
